FlatNo,OwnerName,MonthlyConsumption(L),MonthlyExpense(INR),PercentageExpense(%)
D-106,Anita Desai,6360,1138.53,0.5
D-107,Rajesh Rastogi,14124,1740.11,0.76
D-108,Manoj Kapoor,6182,1092.25,0.48
D-109,Monica Chopra,6182,774.78,0.34
D-110,Anjali Yadav,11611,1463.27,0.64
D-111,Ritu Nair,14353,2512.48,1.1
D-112,Divya Malhotra,9736,1352.18,0.59
D-113,Priya Malhotra,11841,1785.52,0.78
D-114,Komal Pillai,7463,1273.58,0.56
D-115,Manoj Kulkarni,12283,1493.45,0.66
D-116,Yogesh Banerjee,11376,1808.88,0.79
D-117,Shalini Malhotra,11765,1487.73,0.65
D-118,Divya Gupta,8485,1514.09,0.66
D-119,Manoj Desai,10523,1649.02,0.72
D-120,Vivek Kulkarni,7656,1050.31,0.46
D-121,Akash Singh,9022,1524.37,0.67
D-122,Anita Rastogi,13378,2089.76,0.92
D-123,Karan Krishnan,7056,1170.92,0.51
D-124,Isha Krishnan,9688,1689.53,0.74
D-125,Ira Choudhury,10132,1768.46,0.78
D-126,Monica Mishra,9575,1506.49,0.66
E-101,Prakash Singh,9446,1615.42,0.71
E-102,Harsh Mishra,13253,2384.22,1.05
E-103,Kavita Krishnan,13040,1698.26,0.74
E-104,Vivek Bhatia,8648,1050.75,0.46
E-105,Nidhi Pillai,11180,1604.59,0.7
E-106,Mehul Ghosh,11229,1407.69,0.62
E-107,Aditya Kulkarni,5876,1020.93,0.45
E-108,Deepak Gupta,6004,777.15,0.34
E-109,Harsh Choudhury,13931,2324.78,1.02
E-110,Shalini Bhatia,12084,2101.21,0.92
E-111,Ritu Joshi,14379,1793.42,0.79
E-112,Yogesh Bhatia,9357,1597.25,0.7
E-113,Anjali Bhatia,13171,1633.32,0.72
E-114,Sunita Joshi,5791,752.47,0.33
E-115,Ira Menon,12561,1688.62,0.74
E-116,Anjali Kulkarni,10107,1464.34,0.64
E-117,Sanjay Chopra,11866,1834.26,0.8
E-118,Pooja Rastogi,10794,1549.35,0.68
E-119,Monica Reddy,10920,1880.51,0.82
E-120,Ira Das,5506,920.19,0.4
E-121,Naveen Patel,10075,1585.38,0.7
E-122,Rajesh Das,8513,1043.42,0.46
E-123,Deepak Krishnan,7905,1130.68,0.5
E-124,Rekha Reddy,10569,1390.21,0.61
E-125,Naveen Jain,6879,954.89,0.42
E-126,Isha Verma,5329,649.38,0.28
F-101,Anjali Iyer,9795,1366.9,0.6
F-102,Monica Malhotra,8159,1242.39,0.54
F-103,Neha Rastogi,7957,1389.78,0.61
F-104,Arjun Mehta,6477,968.35,0.42
F-105,Anup Mehta,13372,2174.91,0.95
F-106,Harsh Banerjee,8402,1122.96,0.49
F-107,Anita Agarwal,11734,2105.1,0.92
F-108,Shalini Chopra,10201,1828.4,0.8
F-109,Amit Choudhury,7088,931.27,0.41
F-110,Alok Iyer,13840,1939.59,0.85
F-111,Meena Chopra,8540,1431.13,0.63
F-112,Anjali Verma,9500,1559.68,0.68
F-113,Divya Krishnan,13836,1869.95,0.82
F-114,Manoj Sharma,8921,1357.76,0.6
F-115,Gaurav Mehta,10506,1864.07,0.82
F-116,Chirag Reddy,13348,1665.22,0.73
F-117,Deepak Pandey,11519,1810.58,0.79
F-118,Siddharth Das,10473,1544.29,0.68
F-119,Divya Patel,14653,1975.32,0.87
F-120,Priya Chopra,9752,1431.75,0.63
